bidirectional ON,remove-redundant-parts ON,remove-redundant-sets ON,generate-less ON,smart-kleene-order ON,benchmark,file_type,timeout_ms,time_ms,terminated
0,0,0,0,1,flag_non_ser,ser,30000,30004.0,0
1,1,1,1,0,flag_non_ser,ser,30000,673.0,1
0,1,1,1,0,flag_non_ser,ser,30000,30003.0,0
1,0,1,1,0,flag_non_ser,ser,30000,799.0,1
0,0,1,1,0,flag_non_ser,ser,30000,30004.0,0
1,1,0,1,0,flag_non_ser,ser,30000,740.0,1
0,1,0,1,0,flag_non_ser,ser,30000,30004.0,0
1,0,0,1,0,flag_non_ser,ser,30000,726.0,1
0,0,0,1,0,flag_non_ser,ser,30000,30005.0,0
1,1,1,0,0,flag_non_ser,ser,30000,711.0,1
0,1,1,0,0,flag_non_ser,ser,30000,30004.0,0
1,0,1,0,0,flag_non_ser,ser,30000,732.0,1
0,0,1,0,0,flag_non_ser,ser,30000,30003.0,0
1,1,0,0,0,flag_non_ser,ser,30000,764.0,1
0,1,0,0,0,flag_non_ser,ser,30000,30003.0,0
1,0,0,0,0,flag_non_ser,ser,30000,815.0,1
0,0,0,0,0,flag_non_ser,ser,30000,30003.0,0
1,1,1,1,1,flag_non_ser_turned_ser,ser,30000,96.0,1
0,1,1,1,1,flag_non_ser_turned_ser,ser,30000,99.0,1
1,0,1,1,1,flag_non_ser_turned_ser,ser,30000,98.0,1
0,0,1,1,1,flag_non_ser_turned_ser,ser,30000,97.0,1
1,1,0,1,1,flag_non_ser_turned_ser,ser,30000,97.0,1
0,1,0,1,1,flag_non_ser_turned_ser,ser,30000,104.0,1
1,0,0,1,1,flag_non_ser_turned_ser,ser,30000,96.0,1
0,0,0,1,1,flag_non_ser_turned_ser,ser,30000,104.0,1
1,1,1,0,1,flag_non_ser_turned_ser,ser,30000,101.0,1
0,1,1,0,1,flag_non_ser_turned_ser,ser,30000,100.0,1
1,0,1,0,1,flag_non_ser_turned_ser,ser,30000,99.0,1
0,0,1,0,1,flag_non_ser_turned_ser,ser,30000,102.0,1
1,1,0,0,1,flag_non_ser_turned_ser,ser,30000,104.0,1
0,1,0,0,1,flag_non_ser_turned_ser,ser,30000,100.0,1
1,0,0,0,1,flag_non_ser_turned_ser,ser,30000,98.0,1
0,0,0,0,1,flag_non_ser_turned_ser,ser,30000,105.0,1
1,1,1,1,0,flag_non_ser_turned_ser,ser,30000,101.0,1
0,1,1,1,0,flag_non_ser_turned_ser,ser,30000,105.0,1
1,0,1,1,0,flag_non_ser_turned_ser,ser,30000,104.0,1
0,0,1,1,0,flag_non_ser_turned_ser,ser,30000,97.0,1
1,1,0,1,0,flag_non_ser_turned_ser,ser,30000,100.0,1
0,1,0,1,0,flag_non_ser_turned_ser,ser,30000,99.0,1
1,0,0,1,0,flag_non_ser_turned_ser,ser,30000,98.0,1
0,0,0,1,0,flag_non_ser_turned_ser,ser,30000,97.0,1
1,1,1,0,0,flag_non_ser_turned_ser,ser,30000,97.0,1
0,1,1,0,0,flag_non_ser_turned_ser,ser,30000,98.0,1
1,0,1,0,0,flag_non_ser_turned_ser,ser,30000,98.0,1
0,0,1,0,0,flag_non_ser_turned_ser,ser,30000,98.0,1
1,1,0,0,0,flag_non_ser_turned_ser,ser,30000,103.0,1
0,1,0,0,0,flag_non_ser_turned_ser,ser,30000,99.0,1
1,0,0,0,0,flag_non_ser_turned_ser,ser,30000,96.0,1
0,0,0,0,0,flag_non_ser_turned_ser,ser,30000,96.0,1
1,1,1,1,1,fred2_arith,ser,30000,30004.0,0
0,1,1,1,1,fred2_arith,ser,30000,2415.0,1
1,0,1,1,1,fred2_arith,ser,30000,30003.0,0
0,0,1,1,1,fred2_arith,ser,30000,2306.0,1
1,1,0,1,1,fred2_arith,ser,30000,30004.0,0
0,1,0,1,1,fred2_arith,ser,30000,2714.0,1
1,0,0,1,1,fred2_arith,ser,30000,30003.0,0
0,0,0,1,1,fred2_arith,ser,30000,2684.0,1
1,1,1,0,1,fred2_arith,ser,30000,30005.0,0
0,1,1,0,1,fred2_arith,ser,30000,2915.0,1
1,0,1,0,1,fred2_arith,ser,30000,30004.0,0
0,0,1,0,1,fred2_arith,ser,30000,3002.0,1
1,1,0,0,1,fred2_arith,ser,30000,30005.0,0
0,1,0,0,1,fred2_arith,ser,30000,3861.0,1
1,0,0,0,1,fred2_arith,ser,30000,30005.0,0
0,0,0,0,1,fred2_arith,ser,30000,2847.0,1
1,1,1,1,0,fred2_arith,ser,30000,30004.0,0
0,1,1,1,0,fred2_arith,ser,30000,2594.0,1
1,0,1,1,0,fred2_arith,ser,30000,30004.0,0
0,0,1,1,0,fred2_arith,ser,30000,2788.0,1
1,1,0,1,0,fred2_arith,ser,30000,30004.0,0
0,1,0,1,0,fred2_arith,ser,30000,2288.0,1
1,0,0,1,0,fred2_arith,ser,30000,30005.0,0
0,0,0,1,0,fred2_arith,ser,30000,2702.0,1
1,1,1,0,0,fred2_arith,ser,30000,30004.0,0
0,1,1,0,0,fred2_arith,ser,30000,3538.0,1
1,0,1,0,0,fred2_arith,ser,30000,30003.0,0
0,0,1,0,0,fred2_arith,ser,30000,2843.0,1
1,1,0,0,0,fred2_arith,ser,30000,30005.0,0
0,1,0,0,0,fred2_arith,ser,30000,18415.0,1
1,0,0,0,0,fred2_arith,ser,30000,174.0,1
0,0,0,0,0,fred2_arith,ser,30000,3040.0,1
1,1,1,1,1,fred2,ser,30000,30004.0,0
0,1,1,1,1,fred2,ser,30000,30004.0,0
1,0,1,1,1,fred2,ser,30000,30004.0,0
0,0,1,1,1,fred2,ser,30000,30004.0,0
1,1,0,1,1,fred2,ser,30000,30004.0,0
0,1,0,1,1,fred2,ser,30000,30003.0,0
1,0,0,1,1,fred2,ser,30000,30004.0,0
0,0,0,1,1,fred2,ser,30000,30004.0,0
1,1,1,0,1,fred2,ser,30000,30005.0,0
0,1,1,0,1,fred2,ser,30000,30005.0,0
1,0,1,0,1,fred2,ser,30000,30004.0,0
0,0,1,0,1,fred2,ser,30000,30004.0,0
1,1,0,0,1,fred2,ser,30000,30004.0,0
0,1,0,0,1,fred2,ser,30000,30004.0,0
1,0,0,0,1,fred2,ser,30000,30005.0,0
0,0,0,0,1,fred2,ser,30000,30005.0,0
1,1,1,1,0,fred2,ser,30000,30003.0,0
0,1,1,1,0,fred2,ser,30000,30005.0,0
1,0,1,1,0,fred2,ser,30000,30003.0,0
0,0,1,1,0,fred2,ser,30000,30004.0,0
1,1,0,1,0,fred2,ser,30000,30004.0,0
0,1,0,1,0,fred2,ser,30000,30004.0,0
1,0,0,1,0,fred2,ser,30000,30004.0,0
0,0,0,1,0,fred2,ser,30000,30005.0,0
1,1,1,0,0,fred2,ser,30000,30807.0,0
0,1,1,0,0,fred2,ser,30000,30006.0,0
1,0,1,0,0,fred2,ser,30000,30004.0,0
0,0,1,0,0,fred2,ser,30000,30786.0,0
1,1,0,0,0,fred2,ser,30000,30004.0,0
0,1,0,0,0,fred2,ser,30000,30004.0,0
1,0,0,0,0,fred2,ser,30000,30799.0,0
0,0,0,0,0,fred2,ser,30000,30145.0,0
1,1,1,1,1,fred_arith,ser,30000,6553.0,1
0,1,1,1,1,fred_arith,ser,30000,30004.0,0
1,0,1,1,1,fred_arith,ser,30000,6284.0,1
0,0,1,1,1,fred_arith,ser,30000,30005.0,0
1,1,0,1,1,fred_arith,ser,30000,7810.0,1
0,1,0,1,1,fred_arith,ser,30000,30003.0,0
1,0,0,1,1,fred_arith,ser,30000,8264.0,1
0,0,0,1,1,fred_arith,ser,30000,30003.0,0
1,1,1,0,1,fred_arith,ser,30000,10804.0,1
0,1,1,0,1,fred_arith,ser,30000,30004.0,0
1,0,1,0,1,fred_arith,ser,30000,8529.0,1
0,0,1,0,1,fred_arith,ser,30000,30003.0,0
1,1,0,0,1,fred_arith,ser,30000,8657.0,1
0,1,0,0,1,fred_arith,ser,30000,30005.0,0
1,0,0,0,1,fred_arith,ser,30000,10088.0,1
0,0,0,0,1,fred_arith,ser,30000,30004.0,0
1,1,1,1,0,fred_arith,ser,30000,7203.0,1
0,1,1,1,0,fred_arith,ser,30000,30003.0,0
1,0,1,1,0,fred_arith,ser,30000,6685.0,1
0,0,1,1,0,fred_arith,ser,30000,30004.0,0
1,1,0,1,0,fred_arith,ser,30000,10060.0,1
0,1,0,1,0,fred_arith,ser,30000,30004.0,0
1,0,0,1,0,fred_arith,ser,30000,7201.0,1
0,0,0,1,0,fred_arith,ser,30000,30004.0,0
1,1,1,0,0,fred_arith,ser,30000,30405.0,0
0,1,1,0,0,fred_arith,ser,30000,30003.0,0
1,0,1,0,0,fred_arith,ser,30000,16435.0,1
0,0,1,0,0,fred_arith,ser,30000,30003.0,0
1,1,0,0,0,fred_arith,ser,30000,9165.0,1
0,1,0,0,0,fred_arith,ser,30000,30004.0,0
1,0,0,0,0,fred_arith,ser,30000,19546.0,1
0,0,0,0,0,fred_arith,ser,30000,30798.0,0
1,1,1,1,1,fred_arith_simplified_until_1,ser,30000,1570.0,1
0,1,1,1,1,fred_arith_simplified_until_1,ser,30000,1570.0,1
1,0,1,1,1,fred_arith_simplified_until_1,ser,30000,1574.0,1
0,0,1,1,1,fred_arith_simplified_until_1,ser,30000,1578.0,1
1,1,0,1,1,fred_arith_simplified_until_1,ser,30000,1508.0,1
0,1,0,1,1,fred_arith_simplified_until_1,ser,30000,1574.0,1
1,0,0,1,1,fred_arith_simplified_until_1,ser,30000,1622.0,1
0,0,0,1,1,fred_arith_simplified_until_1,ser,30000,1752.0,1
1,1,1,0,1,fred_arith_simplified_until_1,ser,30000,1648.0,1
0,1,1,0,1,fred_arith_simplified_until_1,ser,30000,1610.0,1
1,0,1,0,1,fred_arith_simplified_until_1,ser,30000,1656.0,1
0,0,1,0,1,fred_arith_simplified_until_1,ser,30000,1767.0,1
